         34042898 function calls (33425683 primitive calls) in 1591.988 seconds

   Ordered by: internal time

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
    51213  494.854    0.010  494.854    0.010 {method 'executemany' of 'sqlite3.Connection' objects}
    51220  494.819    0.010  494.819    0.010 {method 'execute' of 'sqlite3.Connection' objects}
   102427  427.353    0.004  427.353    0.004 {method 'commit' of 'sqlite3.Connection' objects}
   201076  102.125    0.001  102.125    0.001 {built-in method posix.scandir}
    51603   22.012    0.000   22.058    0.000 {built-in method posix.stat}
   151751   15.703    0.000   69.571    0.000 glob.py:424(select_wildcard)
  584/579    8.074    0.014    8.074    0.014 {method 'acquire' of '_thread.lock' objects}
   151751    1.644    0.000  119.772    0.001 glob.py:480(select_recursive_step)
  145/144    1.462    0.010 1431.772    9.943 threading.py:641(wait)
  5008920    1.195    0.000    1.768    0.000 utils.py:375(<genexpr>)
   408429    0.795    0.000    0.795    0.000 {method 'match' of 're.Pattern' objects}
    51213    0.746    0.000    1.791    0.000 hlsp_filename.py:390(create_fields)
    11547    0.670    0.000    2.881    0.000 std.py:464(format_meter)
    34644    0.654    0.000    2.422    0.000 {built-in method builtins.sum}
   409710    0.596    0.000    0.925    0.000 _local.py:117(__init__)
   409707    0.583    0.000    2.358    0.000 _abc.py:130(with_segments)
  4974279    0.573    0.000    0.573    0.000 {built-in method unicodedata.east_asian_width}
   307278    0.568    0.000    4.101    0.000 _local.py:44(__getitem__)
    51213    0.512    0.000    3.621    0.000 hlsp_filename.py:414(evaluate_fields)
    51342    0.507    0.000    0.806    0.000 __init__.py:330(_compile)
   409710    0.507    0.000    1.432    0.000 _local.py:498(__init__)
  1628680    0.503    0.000    0.503    0.000 {built-in method builtins.isinstance}
1936068/1321245    0.484    0.000    0.658    0.000 {built-in method builtins.len}
   614556    0.475    0.000    0.517    0.000 _local.py:174(_str_normcase)
    51213    0.460    0.000    2.674    0.000 hlsp_filename.py:376(partition)
   460917    0.440    0.000    0.440    0.000 hlsp_filename.py:152(__init__)
   665769    0.406    0.000    0.517    0.000 _local.py:346(name)
   460917    0.405    0.000    0.906    0.000 hlsp_filename.py:161(evaluate)
    11555    0.395    0.000    0.395    0.000 {method 'write' of '_io.TextIOWrapper' objects}
   358491    0.386    0.000    3.315    0.000 _local.py:245(_from_parsed_parts)
   358494    0.371    0.000    0.735    0.000 _local.py:237(_format_parsed_parts)
    51213    0.357    0.000    5.468    0.000 _local.py:365(relative_to)
    51217    0.343    0.000    0.763    0.000 _local.py:257(_parse_path)
   460917    0.336    0.000    0.336    0.000 hlsp_filename.py:166(get_scores)
    51214    0.312    0.000    5.601    0.000 std.py:1160(__iter__)
   717020    0.311    0.000    0.311    0.000 {built-in method sys.intern}
   153639    0.293    0.000    0.427    0.000 hlsp_filename.py:111(matchMultiChoice)
    51213    0.293    0.000  706.141    0.014 fc_db.py:96(add_fields)
    51213    0.286    0.000    1.840    0.000 hlsp_filename.py:363(__init__)
    51213    0.284    0.000  710.861    0.014 fc_db.py:83(add_filename)
    51213    0.255    0.000    3.282    0.000 <frozen _collections_abc>:1037(__contains__)
   981670    0.250    0.000    0.250    0.000 {method 'append' of 'list' objects}
   307278    0.249    0.000    0.810    0.000 _local.py:193(__eq__)
   409704    0.231    0.000    2.589    0.000 _local.py:252(_from_parsed_string)
   307287    0.223    0.000    0.223    0.000 {method 'split' of 'str' objects}
   153639    0.207    0.000    1.223    0.000 _local.py:35(__init__)
   409710    0.203    0.000    0.344    0.000 _local.py:505(__new__)
   153639    0.202    0.000    1.424    0.000 _local.py:339(parents)
   360502    0.189    0.000    0.189    0.000 {method 'join' of 'str' objects}
    51319    0.181    0.000    1.418    0.000 __init__.py:164(match)
   614556    0.174    0.000    0.266    0.000 _local.py:41(__len__)
        1    0.168    0.168  148.114  148.114 fc_app.py:14(get_file_paths)
   460917    0.163    0.000    0.293    0.000 hlsp_filename.py:95(capitalization)
   102427    0.161    0.000    0.239    0.000 __init__.py:1497(debug)
    11545    0.153    0.000    5.261    0.000 std.py:1198(update)
   307278    0.151    0.000    2.460    0.000 <frozen _collections_abc>:1027(__iter__)
   153643    0.145    0.000    0.973    0.000 _local.py:289(drive)
   460917    0.145    0.000    0.208    0.000 hlsp_filename.py:92(length)
    51214    0.145    0.000  119.917    0.002 glob.py:471(select_recursive)
   921838    0.142    0.000    0.142    0.000 _local.py:307(_tail)
   204852    0.142    0.000    0.185    0.000 hlsp_filename.py:108(matchChoice)
    69271    0.142    0.000    0.142    0.000 std.py:231(__call__)
   409949    0.141    0.000    0.141    0.000 {built-in method __new__ of type object at 0x557171585b80}
    51213    0.137    0.000    0.406    0.000 hlsp_filename.py:215(evaluate)
   102427    0.132    0.000    0.175    0.000 <frozen posixpath>:131(splitdrive)
   460917    0.130    0.000    0.130    0.000 {method 'islower' of 'str' objects}
    23093    0.124    0.000    0.143    0.000 std.py:400(format_interval)
    51213    0.124    0.000    0.266    0.000 hlsp_filename.py:271(evaluate)
    51213    0.118    0.000    0.441    0.000 hlsp_filename.py:255(evaluate)
    51213    0.118    0.000    0.331    0.000 hlsp_filename.py:228(evaluate)
   460919    0.117    0.000    0.117    0.000 {method 'lower' of 'str' objects}
   512384    0.117    0.000    0.117    0.000 {built-in method posix.fspath}
    51213    0.112    0.000    0.112    0.000 hlsp_filename.py:427(evaluate_filename)
    23147    0.104    0.000    0.202    0.000 {method 'format' of 'str' objects}
    51213    0.098    0.000    0.236    0.000 hlsp_filename.py:212(__init__)
    11547    0.096    0.000    3.079    0.000 std.py:1150(__str__)
    51213    0.094    0.000    0.283    0.000 hlsp_filename.py:199(evaluate)
    51213    0.094    0.000    0.266    0.000 hlsp_filename.py:286(evaluate)
    51213    0.083    0.000    0.269    0.000 hlsp_filename.py:304(evaluate)
    51213    0.079    0.000    0.233    0.000 hlsp_filename.py:187(evaluate)
    11547    0.079    0.000    0.102    0.000 std.py:1446(format_dict)
    51213    0.079    0.000    0.277    0.000 hlsp_filename.py:243(evaluate)
